aggregated_bs_id,type,n_base_stations,lng,lat
224,AGGREGATED,2,9.15497277783205,45.381267128418
225,LTE,1,9.156418,45.381912
226,LTE,1,9.1605377197266,45.382461547852
227,LTE,1,9.173059,45.382563
228,LTE,1,9.1962432861328,45.385208129883
229,LTE,1,9.2182159423828,45.382461547852
230,LTE,1,9.230217,45.383656
231,LTE,1,9.237008,45.379137
232,LTE,1,9.2443084716797,45.382461547852
233,LTE,1,9.245956,45.380971
234,LTE,1,9.2594146728516,45.382461547852
235,LTE,1,9.262055,45.382114
236,AGGREGATED,2,9.2671865,45.3807845
237,LTE,1,9.2731475830078,45.381088256836
238,AGGREGATED,2,9.2738342285156,45.380401611328
239,LTE,1,9.2745208740234,45.37971496582
240,LTE,1,9.2882537841797,45.382461547852
241,LTE,1,9.290751,45.382586
242,AGGREGATED,2,9.3014865,45.38092
243,LTE,1,9.301874,45.380692
244,LTE,1,9.306107,45.380402
245,AGGREGATED,5,9.30967712402346,45.3808135986328
246,LTE,1,9.1329,45.382633
247,LTE,1,9.135344,45.383473
248,LTE,1,9.147181,45.385655
249,AGGREGATED,2,9.1509246826172,45.385208129883
249,LTE,1,9.1509246826172,45.385208129883
250,LTE,1,9.154756,45.383644
251,LTE,1,9.161723,45.384487
252,LTE,1,9.170939,45.383763
253,AGGREGATED,2,9.171999,45.383163
254,LTE,1,9.1742706298828,45.383834838867
255,LTE,1,9.1866302490234,45.385208129883
256,LTE,1,9.192932,45.38557
257,LTE,1,9.2058563232422,45.385208129883
258,LTE,1,9.2127227783203,45.386581420898
259,LTE,1,9.217529,45.383148
260,AGGREGATED,2,9.2178724711914,45.382804773926
261,LTE,1,9.2250823974609,45.385208129883
262,LTE,1,9.2374420166016,45.383834838867
263,AGGREGATED,2,9.24219,45.383725
264,AGGREGATED,5,9.24443128300782,45.38356744511721
265,AGGREGATED,3,9.246709702473966,45.383211892578
266,AGGREGATED,10,9.250255627148444,45.3831564095704
267,LTE,1,9.250941,45.382962
268,AGGREGATED,2,9.2594146728516,45.3831481933595
269,AGGREGATED,5,9.26265690195312,45.3826890773438
270,AGGREGATED,3,9.2645166123047,45.382753182617336
271,LTE,1,9.266782,45.38171
272,LTE,1,9.273603,45.382324
273,AGGREGATED,2,9.2738905,45.382427
274,LTE,1,9.276365,45.383218
275,LTE,1,9.297711,45.383486
276,LTE,1,9.301726,45.382536
277,LTE,1,9.304978,45.383419
278,LTE,1,9.3102264404297,45.381088256836
279,LTE,1,9.132462,45.385265
280,AGGREGATED,3,9.136343333333334,45.38532533333333
281,LTE,1,9.136659,45.38606
282,LTE,1,9.140794,45.387586
283,LTE,1,9.1577911376953,45.385208129883
284,LTE,1,9.160508,45.386379
285,LTE,1,9.166719,45.386497
286,LTE,1,9.1687774658203,45.386581420898
287,LTE,1,9.1715240478516,45.386581420898
288,AGGREGATED,2,9.1742805,45.3861165
289,LTE,1,9.174961,45.386064
290,LTE,1,9.1811370849609,45.387954711914
291,LTE,1,9.185996,45.385948
292,AGGREGATED,2,9.1863131245117,45.3855780649415
293,LTE,1,9.217047,45.386818
294,LTE,1,9.222692,45.385768
295,LTE,1,9.2292022705078,45.386581420898
296,LTE,1,9.231949,45.385895
297,AGGREGATED,6,9.235314432454418,45.38520173160816
298,AGGREGATED,4,9.238701,45.385089
299,LTE,1,9.2415618896484,45.385208129883
300,AGGREGATED,3,9.244101333333331,45.384559
301,LTE,1,9.2470550537109,45.386581420898
302,LTE,1,9.249092,45.38382
303,LTE,1,9.252173,45.384334
304,LTE,1,9.256016,45.386616
305,LTE,1,9.258627,45.385676
306,LTE,1,9.2635345458984,45.383834838867
307,LTE,1,9.265938,45.384178
308,AGGREGATED,2,9.26895485498045,45.3855705649415
309,LTE,1,9.2690277099609,45.385208129883
310,LTE,1,9.273319,45.385208
311,LTE,1,9.286624,45.386235
312,AGGREGATED,2,9.288052892089851,45.3843969194335
313,LTE,1,9.294569,45.386184
314,LTE,1,9.295464,45.385551
315,LTE,1,9.299301,45.384243
316,LTE,1,9.300614,45.385551
317,LTE,1,9.0891265869141,45.390701293945
318,LTE,1,9.1001129150391,45.393447875977
319,LTE,1,9.126666,45.393015
320,LTE,1,9.136448,45.387669
321,LTE,1,9.137614,45.3877
322,AGGREGATED,2,9.14528811376955,45.387854855957
323,LTE,1,9.147357,45.386702
324,LTE,1,9.151611,45.386581
325,LTE,1,9.1564178466797,45.38932800293
326,AGGREGATED,3,9.160527813151068,45.38742947460933
327,AGGREGATED,10,9.1629581625,45.3877025847656
328,AGGREGATED,7,9.166060026506686,45.38744777483258
329,AGGREGATED,9,9.169677662109356,45.387094757378215
330,AGGREGATED,5,9.17134741914064,45.3870987683592
331,AGGREGATED,4,9.1744194074707,45.3869496779785
332,AGGREGATED,5,9.17811210058594,45.3879281423828
333,AGGREGATED,3,9.184087208333333,45.38795480794266
334,LTE,1,9.1852569580078,45.387954711914
335,LTE,1,9.1907501220703,45.387954711914
336,LTE,1,9.192473,45.388924
337,AGGREGATED,2,9.1952239975586,45.387843855957
338,LTE,1,9.1989898681641,45.387954711914
339,LTE,1,9.2017364501953,45.38932800293
340,LTE,1,9.2058563232422,45.386581420898
341,LTE,1,9.208621,45.388848
342,AGGREGATED,2,9.2209625244141,45.387954711914
343,AGGREGATED,4,9.222962026611324,45.3871793552245
344,LTE,1,9.227635,45.387536
