type,lng,lat,cellId,distance,n_base_stations,aggregated_bs_id
AGGREGATED,9.1177178491211,45.463352358886496,5036,0.0,2,2169
LTE,9.12097,45.464773,5037,0.12415996506349879,1,2170
LTE,9.1248321533203,45.462112426758,5038,0.1850479974663138,1,2171
AGGREGATED,9.127896333333332,45.463369666666665,5039,0.0,3,2172
AGGREGATED,9.131286804199199,45.462936358886495,5040,0.0,2,2173
LTE,9.134445,45.463257,5041,0.0,1,2174
AGGREGATED,9.136849432338158,45.46342245047414,5042,0.0,7,2175
AGGREGATED,9.139272333333334,45.463715666666666,5043,0.0,3,2176
AGGREGATED,9.142649,45.463390000000004,5044,0.0,2,2177
LTE,9.1440582275391,45.463485717773,5045,0.0,1,2178
AGGREGATED,9.148146561523438,45.46352080444324,5046,0.0,8,2179
AGGREGATED,9.151495,45.463426,5047,0.0,2,2180
AGGREGATED,9.154739444498716,45.463470025553164,5048,0.0,6,2181
AGGREGATED,9.157785784423826,45.46334867944325,5049,0.0,4,2182
AGGREGATED,9.160582239908868,45.46316023925766,5050,0.0,3,2183
AGGREGATED,9.163513298177067,45.46325681184866,5051,0.0,3,2184
AGGREGATED,9.166323469921881,45.46379948710919,5052,0.0,5,2185
AGGREGATED,9.169322031808028,45.46318977650657,5053,0.0,7,2186
AGGREGATED,9.17199867734376,45.463198087109205,5054,0.0,5,2187
AGGREGATED,9.175471858489983,45.46305912979121,5055,0.0,32,2188
AGGREGATED,9.177156474609399,45.46350347851533,5056,0.0,3,2189
AGGREGATED,9.182019825585959,45.4636426306638,5057,0.0,5,2190
AGGREGATED,9.18427841674805,45.46328392944325,5058,0.0,4,2191
AGGREGATED,9.187713786919486,45.463622782036644,5059,0.0,36,2192
AGGREGATED,9.190148507052951,45.46361266757077,5060,0.0,27,2193
AGGREGATED,9.193540596235797,45.46362392888845,5061,0.0,22,2194
AGGREGATED,9.196527414525073,45.46358815917952,5062,0.0,19,2195
AGGREGATED,9.199446642857142,45.462902857142865,5063,0.0,14,2196
AGGREGATED,9.201688833333332,45.462988833333334,5064,0.0,6,2197
AGGREGATED,9.205111505371098,45.46272928629549,5065,0.0,6,2198
AGGREGATED,9.20748317550223,45.463694490792285,5066,0.0,7,2199
AGGREGATED,9.210872121826176,45.46327042944325,5067,0.0,4,2200
AGGREGATED,9.2144246842913,45.46311859333128,5068,0.0,7,2201
AGGREGATED,9.2168225,45.4630165,5069,0.0,2,2202
AGGREGATED,9.220524600000001,45.462421600000006,5070,0.0,5,2203
AGGREGATED,9.223667011827255,45.46326685753033,5071,0.0,9,2204
AGGREGATED,9.22698775,45.46355575,5072,0.0,4,2205
AGGREGATED,9.230201193004254,45.46295931232236,5073,0.0,11,2206
AGGREGATED,9.23311019059245,45.4633012862955,5074,0.0,6,2207
AGGREGATED,9.235465062081472,45.463032959681854,5075,0.0,7,2208
AGGREGATED,9.237373600000002,45.4633858,5076,0.0,5,2209
AGGREGATED,9.241030333333333,45.462753666666664,5077,0.0,3,2210
LTE,9.2429351806641,45.462112426758,5078,0.1783406616028195,1,2211
AGGREGATED,9.246874026855451,45.462958858886495,5079,0.0,2,2212
AGGREGATED,9.250070545247398,45.463300572591,5080,0.0,3,2213
LTE,9.254029,45.46375,5081,0.0,1,2214
AGGREGATED,9.2568655,45.4631905,5082,0.0,6,2215
LTE,9.2594146728516,45.463485717773,5083,0.0,1,2216
LTE,9.261935,45.464772,5084,0.15189512692762955,1,2217
LTE,9.266144,45.462112,5085,0.16169682452328635,1,2218
LTE,9.269858,45.464245,5086,0.0,1,2219
LTE,9.269858,45.464245,5087,0.14244791407039778,1,2219
AGGREGATED,9.27551258251955,45.4634858588865,5088,0.0,2,2220
AGGREGATED,9.2776604609375,45.462384656054795,5089,0.0,10,2221
LTE,9.279578,45.462803,5090,0.0,1,2222
LTE,9.285507,45.464531,5091,0.21812090170461942,1,2223
LTE,9.2855072021484,45.462112426758,5092,0.0,1,2224
LTE,9.2868804931641,45.464859008789,5093,0.2501351865483575,1,2225
LTE,9.2951202392578,45.466232299805,5094,0.39028259228955303,1,2226
LTE,9.2951202392578,45.466232299805,5095,0.3219393914783555,1,2226
LTE,9.299331,45.462396,5096,0.0,1,2151
LTE,9.300988,45.462112,5097,0.0,1,2006
LTE,9.3033599853516,45.462112426758,5098,0.0,1,2152
LTE,9.3074798583984,45.463485717773,5099,0.0,1,2227
LTE,9.3074798583984,45.463485717773,5100,0.22141953768116027,1,2227
LTE,9.0204620361328,45.462112426758,5101,0.7323743057998389,1,1935
LTE,9.0204620361328,45.462112426758,5102,0.5549996290022953,1,1935
LTE,9.0204620361328,45.462112426758,5103,0.4354228158601445,1,1935
LTE,9.0204620361328,45.462112426758,5104,0.4255319524402725,1,1935
LTE,9.0259552001953,45.468978881836,5105,0.36238333540224504,1,2228
LTE,9.0259552001953,45.468978881836,5106,0.3766800285227861,1,2228
LTE,9.035631,45.467793,5107,0.43854838097809834,1,2229
LTE,9.035631,45.467793,5108,0.26254077952050414,1,2229
LTE,9.035631,45.467793,5109,0.23547109677357178,1,2229
LTE,9.043707,45.467793,5110,0.3767468445671934,1,2230
LTE,9.043707,45.467793,5111,0.23023317278321181,1,2230
LTE,9.043707,45.467793,5112,0.27201549442501444,1,2230
LTE,9.043707,45.467793,5113,0.4526516590108124,1,2230
LTE,9.057149,45.469567,5114,0.5895242958287967,1,2231
LTE,9.057149,45.469567,5115,0.45481834035242,1,2231
LTE,9.057149,45.469567,5116,0.41963857082290357,1,2231
LTE,9.0644073486328,45.464859008789,5117,0.29997769866157276,1,2153
AGGREGATED,9.0644073486328,45.464859008789,5118,0.0,2,2153
LTE,9.0644073486328,45.464859008789,5119,0.21654101246840557,1,2153
LTE,9.0699005126953,45.464859008789,5120,0.0,1,2154
LTE,9.073988,45.464172,5121,0.20331999426550376,1,2155
AGGREGATED,9.076618556457513,45.46548710052494,5122,0.0,16,2232
AGGREGATED,9.078271419596366,45.465925766601664,5123,0.0,3,2233
LTE,9.081745,45.467079,5124,0.14173587298181986,1,2234
AGGREGATED,9.0856060024414,45.4657330043945,5125,0.0,2,2235
LTE,9.0863800048828,45.464859008789,5126,0.156416204221215,1,2160
